AA,0,3,150,90,0
AB,0,2,200,170,0
AC,0,4,300,90,0
AD,0,1,300,250,1
AE,0,3,220,290,1
AF,0,4,230,360,1
AG,0,3,310,340,1
AH,0,2,100,490,2
AI,0,3,250,460,2
BA,1,2,340,480,2
BB,1,2,400,510,3
BC,1,3,380,600,3
BD,1,4,470,495,3
BE,1,4,500,550,1
BF,1,4,520,620,1
CA,2,1,350,100,2
CB,2,2,420,90,2
CC,2,4,480,115,1
CD,2,3,560,110,1
DA,3,3,730,90,1
DB,3,2,850,85,0
DC,3,1,800,140,0
DD,3,3,880,165,0
DE,3,4,970,180,0
DF,3,2,850,245,3
DG,3,1,780,230,3
EA,4,4,560,220,3
EB,4,2,660,240,2
EC,4,1,725,250,2
ED,4,3,755,300,0
EE,4,2,745,390,0
EF,4,2,700,400,0
EG,4,3,590,420,2
EH,4,2,730,545,1
EI,4,4,820,410,2
EJ,4,1,900,465,3
EK,4,2,930,390,3
EL,4,3,1040,405,3
FA,5,3,760,655,2
FB,5,4,900,635,3
FC,5,4,960,620,3
FD,5,2,980,520,0
